사업장명,영업상태명,지번주소,도로명주소,위도,경도,행정동명
씨유 서울대입구역점,영업/정상,서울특별시 관악구 봉천동 852-4,"서울특별시 관악구 남부순환로 1833, 1층 (봉천동)",37.4811233236278,126.953868105986,행운동
지에스25 봉천행운점,영업/정상,서울특별시 관악구 봉천동 98-1 루세빌,"서울특별시 관악구 행운1라길 62, 루세빌 1층 (봉천동)",37.4814238294715,126.958538722476,행운동
지에스25 봉천사랑점,영업/정상,서울특별시 관악구 봉천동 23-19 수성드림빌 101호,"서울특별시 관악구 관악로28길 58, 수성드림빌 1층 101호 (봉천동, 수성드림빌)",37.4845613537221,126.959147546939,행운동
이마트24 R관악신세계점,영업/정상,서울특별시 관악구 신림동 1738 파로스프라자A동,"서울특별시 관악구 난곡로 100, 제A동 B1층 2-4,20-23호 (신림동, 파로스프라자A동)",37.4645001795391,126.919613685063,난향동
지에스(GS25)신림관악점,영업/정상,서울특별시 관악구 신림동 1423-24,서울특별시 관악구 남부순환로181길 27 (신림동),37.4858365982989,126.930655235381,신림동
알뜰유통매장,영업/정상,서울특별시 관악구 신림동 1657 은혜빌딩,"서울특별시 관악구 조원로6길 19, 은혜빌딩 (신림동)",37.482538308436,126.904706871992,조원동
씨유 신림두리점,영업/정상,서울특별시 관악구 신림동 1463-51,"서울특별시 관악구 신림동7길 42, 1층 (신림동)",37.4852325312774,126.926577228796,신림동
지에스(GS)25관악까치점,영업/정상,,서울특별시 관악구 행운길 21 (봉천동),37.4800918271888,126.959198369819,행운동
씨유 관악코리아점,영업/정상,서울특별시 관악구 봉천동 966-9,"서울특별시 관악구 봉천로23길 17, 1층 (봉천동)",37.4873184805391,126.935414245982,보라매동
지에스(GS)25 샤로수길점,영업/정상,서울특별시 관악구 봉천동 1620-18,"서울특별시 관악구 남부순환로234길 23, 1층 (봉천동)",37.4783319296238,126.957034286047,낙성대동
씨유 신림제이점,영업/정상,서울특별시 관악구 신림동 251-26,"서울특별시 관악구 신림로11길 48, 1층 (신림동)",37.4683256547126,126.938628430866,대학동
씨유 신림역제일점,영업/정상,서울특별시 관악구 신림동 1639-19,"서울특별시 관악구 남부순환로 1594-1, 1층 (신림동)",37.4837673800162,126.927858446747,서원동
씨유 관악샛별점,영업/정상,서울특별시 관악구 신림동 533-26,"서울특별시 관악구 조원로 87, 1층 (신림동)",37.4846038989184,126.911943662258,조원동
(주)지에스25뉴신림사랑,영업/정상,서울특별시 관악구 신림동 1431-25,"서울특별시 관악구 신림동1길 21, 1층 (신림동)",37.4865566029204,126.92855340249,신림동
GS25 봉천양녕로점,영업/정상,서울특별시 관악구 봉천동 886-104 지1층,"서울특별시 관악구 봉천로41길 14, 만천B동 지1층 (봉천동)",37.483368136579,126.948099869087,중앙동
씨유 관악써니점,영업/정상,서울특별시 관악구 봉천동 1563-2,"서울특별시 관악구 쑥고개로 55, 1층 (봉천동)",37.4798275316626,126.942642123884,청룡동
씨유 관악쑥고개점,영업/정상,서울특별시 관악구 봉천동 1562-1,"서울특별시 관악구 쑥고개로 74, 1층 (봉천동)",37.4793170457859,126.944584405668,청룡동
지에스(GS)25 봉천동신점,영업/정상,서울특별시 관악구 봉천동 649-54 전망좋은집,"서울특별시 관악구 봉천로21나길 35, 101호 (봉천동, 전망좋은집)",37.4888721487085,126.936188701018,보라매동
지에스25관악신사로,영업/정상,서울특별시 관악구 신림동 498-45,"서울특별시 관악구 신사로 116-1, 1층 (신림동)",37.48790222696,126.915156444572,신사동
세븐일레븐 신림합격점,영업/정상,"서울특별시 관악구 신림동 254-27 , 지하 1층","서울특별시 관악구 대학14길 82, 지하 1층 (신림동)",37.4649514119755,126.934676257841,대학동
